Homer Simpson,I hope I didn't brain my damage.
Homer Simpson,I can't even say the word 'titmouse' without gigggling like a schoolgirl.
Homer Simpson,"Oh, so they have Internet on computers now!"
Homer Simpson,I can't even say the word 'titmouse' without gigggling like a schoolgirl.
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Homer Simpson,Marriage is like a coffin and each kid is another nail.
Homer Simpson,"Gah, stupid sexy Flanders!"
Homer Simpson,I hope I didn't brain my damage.
Homer Simpson,"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort."
Homer Simpson,"For once maybe someone will call me ""sir"" without adding, ""You're making a scene."""
Homer Simpson,"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort."
Homer Simpson,"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort."
